,iteration,train loss,val_seen loss,val_seen length,val_seen nav_error,val_seen oracle success_rate,val_seen success_rate,val_seen spl,val_unseen loss,val_unseen length,val_unseen nav_error,val_unseen oracle success_rate,val_unseen success_rate,val_unseen spl
0,100,1.1578630628585815,0.9524330919439143,4.136196450288049,9.930238260551857,0.07352941176470588,0.04607843137254902,0.039018650848753,0.9473198652267456,2.909780996375089,9.546874078616339,0.04555129842486164,0.035759897828863345,0.03477404902300317
1,200,0.9418056993484498,0.9423227743668989,1.7102436810651855,9.532026818393378,0.022549019607843137,0.0196078431372549,0.017818529884453718,0.9364733576774597,1.3040697703577766,9.336371741213949,0.009791400595998296,0.008088548318433376,0.007840485928164696
2,300,0.9404545783996582,0.932008882002397,2.835585709820072,9.41224338488081,0.047058823529411764,0.03529411764705882,0.03269038460515548,0.9317609190940858,2.7845253606111022,9.123799894094368,0.032779906343124735,0.02681992337164751,0.02501965109037052
3,400,0.9273147325515745,0.9257510965520684,4.580827856734857,9.174234230209185,0.11274509803921569,0.07745098039215687,0.06591357101907007,0.9299622694651286,4.083715999071264,8.855687111900721,0.07535121328224777,0.05491698595146871,0.04993872204549319
4,500,0.927450894355774,0.9302880460565739,5.1654716963805445,8.970628711745203,0.10686274509803921,0.0696078431372549,0.0595955039352766,0.9278279582659404,5.171816651339984,8.728444902491624,0.10557684120902512,0.07407407407407407,0.06643104467518252
5,600,0.920255560874939,0.9276992277665573,4.004089553050625,8.804015679882372,0.0892156862745098,0.08431372549019608,0.0806846454779164,0.9229742209116617,3.5777318117596626,8.661241032571438,0.06555981268624947,0.05236270753512133,0.05036470040902873
6,700,0.9159262218475342,0.9184651028026234,4.9647930544977195,8.645982796713136,0.11176470588235295,0.08333333333333333,0.07890575162453307,0.9331136624018351,4.745713255884678,8.668245803129771,0.09748829289059174,0.07237122179650915,0.06841561725487584
7,800,0.9137161645889281,0.9229016304016114,4.475686892182595,8.688607558253407,0.09803921568627451,0.08529411764705883,0.08019398793922264,0.9189022064208984,4.44605042909882,8.572028931756796,0.08301404853128991,0.06726266496381439,0.06434359193859578
8,900,0.9099864311218261,0.902101013877175,5.763854416367868,8.316507108725837,0.13333333333333333,0.11666666666666667,0.10669572889355722,0.9263802687327067,5.293177452585755,8.541018373430008,0.0970625798212005,0.07535121328224777,0.07128187641342151
9,1000,0.9101840019226074,0.912527119029652,6.359795960852293,8.212501601943272,0.1607843137254902,0.12549019607843137,0.11390013364176636,0.9203527371088663,5.867432833121556,8.55855490745975,0.11281396338867604,0.07790549169859515,0.07280576462013177
